Question Content,Image ID,Image Path,Categories
Where was this taken?,54678,COCO_train2014_000000054678.jpg,"[1, 35]"
Was this taken at a wedding?,344157,COCO_train2014_000000344157.jpg,"[1, 67, 46, 49, 61]"
Is this their first wedding?,344157,COCO_train2014_000000344157.jpg,"[1, 67, 46, 49, 61]"
What occasion is this cake for?,344157,COCO_train2014_000000344157.jpg,"[1, 67, 46, 49, 61]"
What flavor cake is that?,344157,COCO_train2014_000000344157.jpg,"[1, 67, 46, 49, 61]"
When did they get married?,344157,COCO_train2014_000000344157.jpg,"[1, 67, 46, 49, 61]"
Is this a kite festival?,546703,COCO_train2014_000000546703.jpg,"[1, 18, 38]"
Did many get tangled?,546703,COCO_train2014_000000546703.jpg,"[1, 18, 38]"
Why is everyone gathered with their kites?,546703,COCO_train2014_000000546703.jpg,"[1, 18, 38]"
How long did it take them to untangle the kite strings?,546703,COCO_train2014_000000546703.jpg,"[1, 18, 38]"
Can all those kit strings get tangled really badly?,546703,COCO_train2014_000000546703.jpg,"[1, 18, 38]"
Did the dog eat one of the doughnuts?,107147,COCO_train2014_000000107147.jpg,"[67, 44, 60, 47]"
What kind of doughnuts are those?,107147,COCO_train2014_000000107147.jpg,"[67, 44, 60, 47]"
What kind of jelly do you think is in these donuts,107147,COCO_train2014_000000107147.jpg,"[67, 44, 60, 47]"
What kind of liquid is in the mug?,107147,COCO_train2014_000000107147.jpg,"[67, 44, 60, 47]"
Were those donuts from a local bakery?,107147,COCO_train2014_000000107147.jpg,"[67, 44, 60, 47]"
Are you related to the man in the picture?,229233,COCO_train2014_000000229233.jpg,"[1, 67, 44, 48, 49, 59, 62]"
What is he eating?,229233,COCO_train2014_000000229233.jpg,"[1, 67, 44, 48, 49, 59, 62]"
What is he eating?,229233,COCO_train2014_000000229233.jpg,"[1, 67, 44, 48, 49, 59, 62]"
What is the man eating?,229233,COCO_train2014_000000229233.jpg,"[1, 67, 44, 48, 49, 59, 62]"
Is that your friend?,229233,COCO_train2014_000000229233.jpg,"[1, 67, 44, 48, 49, 59, 62]"
Did they lose?,361930,COCO_train2014_000000361930.jpg,"[64, 1, 43, 85, 62]"
Who are the tennis players?,361930,COCO_train2014_000000361930.jpg,"[64, 1, 43, 85, 62]"
Who are the people playing tennis?,361930,COCO_train2014_000000361930.jpg,"[64, 1, 43, 85, 62]"
What tournament is that?,361930,COCO_train2014_000000361930.jpg,"[64, 1, 43, 85, 62]"
Who won this tennis game?,361930,COCO_train2014_000000361930.jpg,"[64, 1, 43, 85, 62]"
Does he fold all your laundry?,337536,COCO_train2014_000000337536.jpg,"[64, 1, 65, 33, 72]"
Who is the man folding the clothes?,337536,COCO_train2014_000000337536.jpg,"[64, 1, 65, 33, 72]"
Why is this man packing his bags?,337536,COCO_train2014_000000337536.jpg,"[64, 1, 65, 33, 72]"
Is  this man moving out of his parents home?,337536,COCO_train2014_000000337536.jpg,"[64, 1, 65, 33, 72]"
Is he packing a t-shirt?,337536,COCO_train2014_000000337536.jpg,"[64, 1, 65, 33, 72]"
Who is that riding the horse?,402762,COCO_train2014_000000402762.jpg,"[3, 1, 19]"
Do you ride often?,402762,COCO_train2014_000000402762.jpg,"[3, 1, 19]"
What kind of horse is that?,402762,COCO_train2014_000000402762.jpg,"[3, 1, 19]"
Where is he riding the horse?,402762,COCO_train2014_000000402762.jpg,"[3, 1, 19]"
How long can that horse walk before it gets tired?,402762,COCO_train2014_000000402762.jpg,"[3, 1, 19]"
Does he always look so relaxed while he's skiing?,132710,COCO_train2014_000000132710.jpg,"[1, 27, 35]"
Is he a good skier?,132710,COCO_train2014_000000132710.jpg,"[1, 27, 35]"
Where is he skiing?,132710,COCO_train2014_000000132710.jpg,"[1, 27, 35]"
What mountain is this on?,132710,COCO_train2014_000000132710.jpg,"[1, 27, 35]"
Is that skiier about to pass out?,132710,COCO_train2014_000000132710.jpg,"[1, 27, 35]"
Is this a real old photo of edited?,23951,COCO_train2014_000000023951.jpg,"[1, 38]"
How high up is that kite?,23951,COCO_train2014_000000023951.jpg,"[1, 38]"
Where is he flying the kite?,23951,COCO_train2014_000000023951.jpg,"[1, 38]"
Is this picture old?,23951,COCO_train2014_000000023951.jpg,"[1, 38]"
Why does the picture look like that?,23951,COCO_train2014_000000023951.jpg,"[1, 38]"
What is the giraffe doing?,110084,COCO_train2014_000000110084.jpg,[25]
How tall are giraffes?,110084,COCO_train2014_000000110084.jpg,[25]
How tall is that giraffe?,110084,COCO_train2014_000000110084.jpg,[25]
Is the giraffe young?,110084,COCO_train2014_000000110084.jpg,[25]
What other animals are kept in the same area as the giraffe?,110084,COCO_train2014_000000110084.jpg,[25]
How long had it been snowing?,366313,COCO_train2014_000000366313.jpg,"[1, 18, 3, 28]"
How cold was it out that day?,366313,COCO_train2014_000000366313.jpg,"[1, 18, 3, 28]"
Is this taken in the U.S?,366313,COCO_train2014_000000366313.jpg,"[1, 18, 3, 28]"
Is it okay for that dog to be peeing there?,366313,COCO_train2014_000000366313.jpg,"[1, 18, 3, 28]"
Why doesn't he have a sweater on that dog?,366313,COCO_train2014_000000366313.jpg,"[1, 18, 3, 28]"
What beach is this?,149036,COCO_train2014_000000149036.jpg,"[1, 42]"
What ocean is this?,149036,COCO_train2014_000000149036.jpg,"[1, 42]"
Is this man rowing a surf board?,149036,COCO_train2014_000000149036.jpg,"[1, 42]"
Is that a paddleboard?,149036,COCO_train2014_000000149036.jpg,"[1, 42]"
Where is this?,149036,COCO_train2014_000000149036.jpg,"[1, 42]"
Who is he talking to?,100300,COCO_train2014_000000100300.jpg,"[32, 1, 67, 77, 62]"
Were you getting ready for a meeting?,100300,COCO_train2014_000000100300.jpg,"[32, 1, 67, 77, 62]"
What is in the background behind the man?,100300,COCO_train2014_000000100300.jpg,"[32, 1, 67, 77, 62]"
Do you know that guy?,100300,COCO_train2014_000000100300.jpg,"[32, 1, 67, 77, 62]"
Who is he waiting for?,100300,COCO_train2014_000000100300.jpg,"[32, 1, 67, 77, 62]"
What kind of green shoes are those?,461815,COCO_train2014_000000461815.jpg,"[1, 41]"
Is this a girl or a boy?,461815,COCO_train2014_000000461815.jpg,"[1, 41]"
How old is the little girl?,461815,COCO_train2014_000000461815.jpg,"[1, 41]"
How old is she?,461815,COCO_train2014_000000461815.jpg,"[1, 41]"
How old is the person skateboarding?,461815,COCO_train2014_000000461815.jpg,"[1, 41]"
How old is that chef?,85235,COCO_train2014_000000085235.jpg,"[81, 1, 67, 44]"
What is she cooking?,85235,COCO_train2014_000000085235.jpg,"[81, 1, 67, 44]"
What is she making?,85235,COCO_train2014_000000085235.jpg,"[81, 1, 67, 44]"
What kind of pastry is it?,85235,COCO_train2014_000000085235.jpg,"[81, 1, 67, 44]"
Do you think this woman is happy with her employer?,85235,COCO_train2014_000000085235.jpg,"[81, 1, 67, 44]"
What mountain are they on?,571078,COCO_train2014_000000571078.jpg,[1]
You think this guy can cause an avalanche just skiing?,571078,COCO_train2014_000000571078.jpg,[1]
How difficult is that slope?,571078,COCO_train2014_000000571078.jpg,[1]
Where is his ski trail?,571078,COCO_train2014_000000571078.jpg,[1]
Who is skiing/,571078,COCO_train2014_000000571078.jpg,[1]
Do you think the elephants really like performing?,438795,COCO_train2014_000000438795.jpg,"[1, 22, 15]"
Do you think they train them humanely?,438795,COCO_train2014_000000438795.jpg,"[1, 22, 15]"
Where are the elephants?,438795,COCO_train2014_000000438795.jpg,"[1, 22, 15]"
How often do they perform?,438795,COCO_train2014_000000438795.jpg,"[1, 22, 15]"
Was that at a zoo?,438795,COCO_train2014_000000438795.jpg,"[1, 22, 15]"
How much does the elephant weigh?,125626,COCO_train2014_000000125626.jpg,"[8, 1, 22]"
How old is she?,125626,COCO_train2014_000000125626.jpg,"[8, 1, 22]"
Why were they putting the elephant in the cage?,125626,COCO_train2014_000000125626.jpg,"[8, 1, 22]"
Where is the elephant going?,125626,COCO_train2014_000000125626.jpg,"[8, 1, 22]"
How old is this elephant?,125626,COCO_train2014_000000125626.jpg,"[8, 1, 22]"
What breed of dogs are they?,190718,COCO_train2014_000000190718.jpg,"[1, 3, 8, 10, 18]"
What kind of dogs are those?,190718,COCO_train2014_000000190718.jpg,"[1, 3, 8, 10, 18]"
What breed are those dogs?,190718,COCO_train2014_000000190718.jpg,"[1, 3, 8, 10, 18]"
Are the dogs twins?,190718,COCO_train2014_000000190718.jpg,"[1, 3, 8, 10, 18]"
Where are the dogs walking to?,190718,COCO_train2014_000000190718.jpg,"[1, 3, 8, 10, 18]"
What country was this taken in?,281160,COCO_train2014_000000281160.jpg,"[1, 2, 3, 10, 11, 31]"
What language is on the sign?,281160,COCO_train2014_000000281160.jpg,"[1, 2, 3, 10, 11, 31]"
What country is this?,281160,COCO_train2014_000000281160.jpg,"[1, 2, 3, 10, 11, 31]"
What city is this in?,281160,COCO_train2014_000000281160.jpg,"[1, 2, 3, 10, 11, 31]"
Is this in China?,281160,COCO_train2014_000000281160.jpg,"[1, 2, 3, 10, 11, 31]"
Is that woman drunk?,294325,COCO_train2014_000000294325.jpg,"[72, 1, 44]"
What was she eating?,294325,COCO_train2014_000000294325.jpg,"[72, 1, 44]"
What is she eating with her beer?,294325,COCO_train2014_000000294325.jpg,"[72, 1, 44]"
How much did she have to drink?,294325,COCO_train2014_000000294325.jpg,"[72, 1, 44]"
What is she eating?,294325,COCO_train2014_000000294325.jpg,"[72, 1, 44]"
How long ago was that wedding?,110596,COCO_train2014_000000110596.jpg,"[32, 1, 8]"
Where did they get married?,110596,COCO_train2014_000000110596.jpg,"[32, 1, 8]"
What kind of car is that?,110596,COCO_train2014_000000110596.jpg,"[32, 1, 8]"
How long has these newlyweds been together before marriage?,110596,COCO_train2014_000000110596.jpg,"[32, 1, 8]"
Who was getting married?,110596,COCO_train2014_000000110596.jpg,"[32, 1, 8]"
Did the hitter just hit a ball?,363469,COCO_train2014_000000363469.jpg,"[1, 37, 39]"
Is this a before game practice?,363469,COCO_train2014_000000363469.jpg,"[1, 37, 39]"
What team do these baseball players play for?,363469,COCO_train2014_000000363469.jpg,"[1, 37, 39]"
Does this team have a name?,363469,COCO_train2014_000000363469.jpg,"[1, 37, 39]"
Are they practicing for a game?,363469,COCO_train2014_000000363469.jpg,"[1, 37, 39]"
What's the score in the tennis game?,542090,COCO_train2014_000000542090.jpg,"[1, 43]"
Who is he playing against?,542090,COCO_train2014_000000542090.jpg,"[1, 43]"
What is the name of that tennis player?,542090,COCO_train2014_000000542090.jpg,"[1, 43]"
Was this a competition or practice?,542090,COCO_train2014_000000542090.jpg,"[1, 43]"
Who designed that tennis outfit?,542090,COCO_train2014_000000542090.jpg,"[1, 43]"
What soccer teams were playing?,99184,COCO_train2014_000000099184.jpg,"[1, 37, 62, 15]"
What teams are playing in this soccer match?,99184,COCO_train2014_000000099184.jpg,"[1, 37, 62, 15]"
Where are they playing soccer?,99184,COCO_train2014_000000099184.jpg,"[1, 37, 62, 15]"
Are you a fan?,99184,COCO_train2014_000000099184.jpg,"[1, 37, 62, 15]"
What sport is this?,99184,COCO_train2014_000000099184.jpg,"[1, 37, 62, 15]"
For what event are these women gathered?,42725,COCO_train2014_000000042725.jpg,"[64, 1, 44, 47, 81, 82, 51]"
What did they cook?,42725,COCO_train2014_000000042725.jpg,"[64, 1, 44, 47, 81, 82, 51]"
What is the occasion?,42725,COCO_train2014_000000042725.jpg,"[64, 1, 44, 47, 81, 82, 51]"
Are they cleaning the kitchen?,42725,COCO_train2014_000000042725.jpg,"[64, 1, 44, 47, 81, 82, 51]"
Are they cleaning up the kitchen?,42725,COCO_train2014_000000042725.jpg,"[64, 1, 44, 47, 81, 82, 51]"
Is there a skier in the ground?,331271,COCO_train2014_000000331271.jpg,"[1, 35, 36]"
Where did this ski trip take place?,331271,COCO_train2014_000000331271.jpg,"[1, 35, 36]"
Is this at a ski resort?,331271,COCO_train2014_000000331271.jpg,"[1, 35, 36]"
Are these skiers beginners or experts?,331271,COCO_train2014_000000331271.jpg,"[1, 35, 36]"
What mountain are they on?,331271,COCO_train2014_000000331271.jpg,"[1, 35, 36]"
Is that horse deaf?,14159,COCO_train2014_000000014159.jpg,"[1, 19]"
What holiday was this for?,14159,COCO_train2014_000000014159.jpg,"[1, 19]"
Is that man playing a drum?,14159,COCO_train2014_000000014159.jpg,"[1, 19]"
What festival do you think this is?,14159,COCO_train2014_000000014159.jpg,"[1, 19]"
What are the orange necklaces all about?,14159,COCO_train2014_000000014159.jpg,"[1, 19]"
Who gave the little girl the daisy?,408917,COCO_train2014_000000408917.jpg,"[1, 3, 15]"
Why does this girl look shocked?,408917,COCO_train2014_000000408917.jpg,"[1, 3, 15]"
What was she looking at?,408917,COCO_train2014_000000408917.jpg,"[1, 3, 15]"
What is the flower in her hand?,408917,COCO_train2014_000000408917.jpg,"[1, 3, 15]"
What is this little girl's name?,408917,COCO_train2014_000000408917.jpg,"[1, 3, 15]"
Do you find it difficult to locate handicap-accessible trails in your area?,70339,COCO_train2014_000000070339.jpg,"[64, 1, 15]"
What kind of flowers are at the bottom?,70339,COCO_train2014_000000070339.jpg,"[64, 1, 15]"
How did she get into a wheelchair?,70339,COCO_train2014_000000070339.jpg,"[64, 1, 15]"
Who is the man in the red shirt?,70339,COCO_train2014_000000070339.jpg,"[64, 1, 15]"
Are they bother and sister?,70339,COCO_train2014_000000070339.jpg,"[64, 1, 15]"
Is this man good at surfing?,79151,COCO_train2014_000000079151.jpg,"[1, 42]"
Where is this?,79151,COCO_train2014_000000079151.jpg,"[1, 42]"
Did he get in the tube of the wave?,79151,COCO_train2014_000000079151.jpg,"[1, 42]"
What ocean is this?,79151,COCO_train2014_000000079151.jpg,"[1, 42]"
How long has he been surfing?,79151,COCO_train2014_000000079151.jpg,"[1, 42]"
Is that this kid's first baseball mitt?,446557,COCO_train2014_000000446557.jpg,"[40, 1, 37]"
Is she joining a team?,446557,COCO_train2014_000000446557.jpg,"[40, 1, 37]"
Do you think that little girl caught the ball?,446557,COCO_train2014_000000446557.jpg,"[40, 1, 37]"
Was that ball caught from an MLB game?,446557,COCO_train2014_000000446557.jpg,"[40, 1, 37]"
Do you encourage your girls to pursue athletics?,446557,COCO_train2014_000000446557.jpg,"[40, 1, 37]"
How small is that bike?,302236,COCO_train2014_000000302236.jpg,"[1, 4]"
Where did you get that?,302236,COCO_train2014_000000302236.jpg,"[1, 4]"
Is the man actually riding the small motorcycle?,302236,COCO_train2014_000000302236.jpg,"[1, 4]"
Is he riding a mini scooter?,302236,COCO_train2014_000000302236.jpg,"[1, 4]"
How bad does he scrape his knee making that turn?,302236,COCO_train2014_000000302236.jpg,"[1, 4]"
Which mountain range are they skiing on?,114978,COCO_train2014_000000114978.jpg,"[27, 1, 35]"
Where is this ski slope?,114978,COCO_train2014_000000114978.jpg,"[27, 1, 35]"
"Which skier is the instructor, and which the student?",114978,COCO_train2014_000000114978.jpg,"[27, 1, 35]"
How old is she?,114978,COCO_train2014_000000114978.jpg,"[27, 1, 35]"
Are they both skiing together?,114978,COCO_train2014_000000114978.jpg,"[27, 1, 35]"
What game are they playing?,229827,COCO_train2014_000000229827.jpg,"[1, 75, 62, 63]"
What game are they playing?,229827,COCO_train2014_000000229827.jpg,"[1, 75, 62, 63]"
What game are they playing?,229827,COCO_train2014_000000229827.jpg,"[1, 75, 62, 63]"
Are these all siblings?,229827,COCO_train2014_000000229827.jpg,"[1, 75, 62, 63]"
Are these kids playing a video game together?,229827,COCO_train2014_000000229827.jpg,"[1, 75, 62, 63]"
How old are those computers?,441296,COCO_train2014_000000441296.jpg,"[72, 74, 76]"
Does this person really need two monitors?,441296,COCO_train2014_000000441296.jpg,"[72, 74, 76]"
What is the model of the printer?,441296,COCO_train2014_000000441296.jpg,"[72, 74, 76]"
Why two monitors?,441296,COCO_train2014_000000441296.jpg,"[72, 74, 76]"
Whose computer is this?,441296,COCO_train2014_000000441296.jpg,"[72, 74, 76]"
What platform was this taken on?,188693,COCO_train2014_000000188693.jpg,"[1, 33, 7, 15, 84, 31]"
Where was the train going?,188693,COCO_train2014_000000188693.jpg,"[1, 33, 7, 15, 84, 31]"
Did she intend her bags to match the train's colors?,188693,COCO_train2014_000000188693.jpg,"[1, 33, 7, 15, 84, 31]"
Where is this woman traveling to?,188693,COCO_train2014_000000188693.jpg,"[1, 33, 7, 15, 84, 31]"
Is she waiting for someone?,188693,COCO_train2014_000000188693.jpg,"[1, 33, 7, 15, 84, 31]"
How is she doing that?,145679,COCO_train2014_000000145679.jpg,"[1, 28]"
Where is she?,145679,COCO_train2014_000000145679.jpg,"[1, 28]"
Where is she walking?,145679,COCO_train2014_000000145679.jpg,"[1, 28]"
What exposure did you use?,145679,COCO_train2014_000000145679.jpg,"[1, 28]"
Do you think she always hikes in sandals and a dress?,145679,COCO_train2014_000000145679.jpg,"[1, 28]"
Was she the only one performing?,50583,COCO_train2014_000000050583.jpg,"[62, 1, 22]"
Was that at a circus?,50583,COCO_train2014_000000050583.jpg,"[62, 1, 22]"
Do you think the elephant really like performing?,50583,COCO_train2014_000000050583.jpg,"[62, 1, 22]"
Do you think those elephants get mad?,50583,COCO_train2014_000000050583.jpg,"[62, 1, 22]"
How long did it take to train that elephant?,50583,COCO_train2014_000000050583.jpg,"[62, 1, 22]"
Are these children related to each other?,229919,COCO_train2014_000000229919.jpg,"[88, 65, 1]"
Is the little girl on the right scared?,229919,COCO_train2014_000000229919.jpg,"[88, 65, 1]"
Why are the two girls sleeping in the same bed?,229919,COCO_train2014_000000229919.jpg,"[88, 65, 1]"
Are they twins?,229919,COCO_train2014_000000229919.jpg,"[88, 65, 1]"
Who is scaring them?,229919,COCO_train2014_000000229919.jpg,"[88, 65, 1]"
What street is that?,518157,COCO_train2014_000000518157.jpg,"[1, 31, 41]"
Is it usual to see businessmen travel about on skateboards where you live?,518157,COCO_train2014_000000518157.jpg,"[1, 31, 41]"
Are they causing trouble?,518157,COCO_train2014_000000518157.jpg,"[1, 31, 41]"
Are the shops in the background closed?,518157,COCO_train2014_000000518157.jpg,"[1, 31, 41]"
Are the two people in dark blue related?,518157,COCO_train2014_000000518157.jpg,"[1, 31, 41]"
Is one of those snowboarders a girl?,225036,COCO_train2014_000000225036.jpg,"[1, 36]"
How many times did you go down the mountain?,225036,COCO_train2014_000000225036.jpg,"[1, 36]"
Did you snowboard all day?,225036,COCO_train2014_000000225036.jpg,"[1, 36]"
How difficult is the rating for the snow course these snowboarders are on?,225036,COCO_train2014_000000225036.jpg,"[1, 36]"
Where is this ski slope?,225036,COCO_train2014_000000225036.jpg,"[1, 36]"
How often do they come by?,220615,COCO_train2014_000000220615.jpg,"[8, 1, 77, 31]"
Are all the street-sweeping trucks so clean?,220615,COCO_train2014_000000220615.jpg,"[8, 1, 77, 31]"
Why is a Mercedes cleaning the street?,220615,COCO_train2014_000000220615.jpg,"[8, 1, 77, 31]"
What was the purpose of the truck?,220615,COCO_train2014_000000220615.jpg,"[8, 1, 77, 31]"
Is that a garbage truck?,220615,COCO_train2014_000000220615.jpg,"[8, 1, 77, 31]"
Is that a little girl or boy?,377476,COCO_train2014_000000377476.jpg,"[1, 67, 50, 51, 53]"
What food is the girl eating?,377476,COCO_train2014_000000377476.jpg,"[1, 67, 50, 51, 53]"
Is the child in school?,377476,COCO_train2014_000000377476.jpg,"[1, 67, 50, 51, 53]"
Is this child in school?,377476,COCO_train2014_000000377476.jpg,"[1, 67, 50, 51, 53]"
Did you make her lunch?,377476,COCO_train2014_000000377476.jpg,"[1, 67, 50, 51, 53]"
Is he making a sandwich?,262407,COCO_train2014_000000262407.jpg,"[64, 1, 81, 49, 51, 86, 54]"
Is this kid using organic peanut butter and jelly on her sandwich?,262407,COCO_train2014_000000262407.jpg,"[64, 1, 81, 49, 51, 86, 54]"
Where is this room?,262407,COCO_train2014_000000262407.jpg,"[64, 1, 81, 49, 51, 86, 54]"
Was that your lunch?,262407,COCO_train2014_000000262407.jpg,"[64, 1, 81, 49, 51, 86, 54]"
What flavor is the jelly?,262407,COCO_train2014_000000262407.jpg,"[64, 1, 81, 49, 51, 86, 54]"
What is in the man's hand?,539571,COCO_train2014_000000539571.jpg,"[1, 75, 63]"
Is that a video game controller in his hand?,539571,COCO_train2014_000000539571.jpg,"[1, 75, 63]"
What game is the man playing?,539571,COCO_train2014_000000539571.jpg,"[1, 75, 63]"
Does this older man play Wii a lot?,539571,COCO_train2014_000000539571.jpg,"[1, 75, 63]"
Is the man playing a video game?,539571,COCO_train2014_000000539571.jpg,"[1, 75, 63]"
What kind of bird is that?,80404,COCO_train2014_000000080404.jpg,"[16, 1]"
Is that a parrot?,80404,COCO_train2014_000000080404.jpg,"[16, 1]"
Is the bird landing?,80404,COCO_train2014_000000080404.jpg,"[16, 1]"
What type of bird is that?,80404,COCO_train2014_000000080404.jpg,"[16, 1]"
Is that bird flying away?,80404,COCO_train2014_000000080404.jpg,"[16, 1]"
Where is he skiing at?,288486,COCO_train2014_000000288486.jpg,"[1, 35]"
Where is this?,288486,COCO_train2014_000000288486.jpg,"[1, 35]"
